,Name,Rating,Expertise,Number_of_Employees,Type,Age,Location,Highly_Rated_For,Critically_Rated_For
358,SRF,4.2,Chemicals,5k-10k Employees,Public,53 years old,Gurgaon/Gurugram +45 more,"Job Security, Salary & Benefits, Skill Development / Learning",Data missing
359,Indian Railways,4.1,Railways,1 Lakh+ Employees,Central,170 years old,Delhi/NCR +203 more,"Job Security, Skill Development / Learning, Salary & Benefits",Data missing
360,Kansai Nerolac Paints,3.8,Chemicals,1k-5k Employees,Public,103 years old,Mumbai +160 more,Job Security,Data missing
361,Info Edge,4.1,Internet,5k-10k Employees,Public,28 years old,Noida +54 more,"Job Security, Company Culture, Work Life Balance",Data missing
362,ICICI Securities,3.8,Financial Services,1k-5k Employees,Public,28 years old,Mumbai +118 more,Job Security,Data missing
363,Cybage,4,IT Services & Consulting,5k-10k Employees,Data missing,28 years old,Pune +8 more,"Job Security, Company Culture, Work Life Balance",Data missing
364,Reliance Trends,4.3,Retail,1 Lakh+ Employees,Conglomerate,17 years old,Navi Mumbai +316 more,"Skill Development / Learning, Job Security, Company Culture",Data missing
365,IDFC FIRST Bharat,4.5,NBFC,5k-10k Employees,Data missing,7 years old,Tiruchirappalli +267 more,"Salary & Benefits, Job Security, Company Culture",Data missing
366,Poonawalla Fincorp,3.9,NBFC,1k-5k Employees,Public,35 years old,Mumbai +244 more,Skill Development / Learning,Data missing
367,Ambuja Cements,3.9,Building Material,5k-10k Employees,Public,40 years old,Mumbai +182 more,Data missing,Data missing
368,Shell,4.4,Oil & Gas,5k-10k Employees,Public,19 years old,London +77 more,"Work Life Balance, Company Culture, Salary & Benefits",Data missing
369,Motilal Oswal Financial Services,3.7,Financial Services,5k-10k Employees,Public,36 years old,Mumbai +117 more,Skill Development / Learning,Data missing
370,Kalyan Jewellers,4.8,Jewellery,5k-10k Employees,Fortune India 500,30 years old,Bengaluru/Bangalore +126 more,"Skill Development / Learning, Company Culture, Salary & Benefits",Data missing
371,HCL Infosystems,4,IT Services & Consulting,51-200 Employees,Public,47 years old,Noida +107 more,"Job Security, Work Life Balance, Company Culture",Data missing
372,KPMG Global Services,3.7,Data missing,Data missing,Data missing,Data missing,Bengaluru/Bangalore +24 more,"Job Security, Company Culture",Data missing
373,Cadila Pharmaceuticals,3.3,Pharma,5k-10k Employees,Public,72 years old,Ahmedabad +107 more,Data missing,"Job Security, Promotions / Appraisal"
374,ZS,3.5,Management Consulting,5k-10k Employees,Data missing,40 years old,Evanston +8 more,Salary & Benefits,Work Life Balance
375,Fujitsu,3.9,IT Services & Consulting,5k-10k Employees,Forbes Global 2000,88 years old,Bangalore/Bengaluru +24 more,"Work Life Balance, Job Security, Company Culture",Data missing
376,Whirlpool,4.2,Consumer Electronics & Appliances,1k-5k Employees,Public,112 years old,Michigan +132 more,"Work Life Balance, Company Culture, Job Security",Data missing
377,JCB,4,Industrial Machinery,1k-5k Employees,Data missing,78 years old,Rocester +82 more,"Work Life Balance, Company Culture",Data missing
378,Shriram City,4.1,Financial Services,50k-1 Lakh Employees,Public,37 years old,Chennai +414 more,"Job Security, Company Culture, Work Life Balance",Data missing
379,Blinkit,3.8,Internet,1k-5k Employees,Indian Unicorn,10 years old,Gurgaon +58 more,Data missing,Data missing
380,3i Infotech,3.5,IT Services & Consulting,1k-5k Employees,Public,30 years old,Mumbai +100 more,Data missing,Promotions / Appraisal
381,Force Motors,3.5,Automobile,1k-5k Employees,Public,65 years old,Pune +83 more,Data missing,Promotions / Appraisal
382,GlaxoSmithKline Pharmaceuticals,4.1,Pharma,1k-5k Employees,Fortune India 500,193 years old,Brentford +167 more,"Company Culture, Skill Development / Learning, Work Life Balance",Data missing
383,Kent RO Systems,4.1,Consumer Electronics & Appliances,1k-5k Employees,Data missing,24 years old,Noida +135 more,"Work Life Balance, Work Satisfaction, Company Culture",Data missing
384,Syngene International,3.9,Pharma,1k-5k Employees,Public,30 years old,Bangalore/Bengaluru +13 more,"Job Security, Company Culture",Data missing
385,Tata Elxsi,4,IT Services & Consulting,10k-50k Employees,Public,34 years old,Bangalore/Bengaluru +20 more,"Job Security, Work Life Balance, Company Culture",Data missing
386,Endurance Technologies,3.8,Auto Components,1k-5k Employees,Public,38 years old,Aurangabad +37 more,Skill Development / Learning,Data missing
387,Shahi Exports,4,Retail,1 Lakh+ Employees,Data missing,49 years old,Faridabad +56 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
388,Delphi TVS,4,Auto Components,1k-5k Employees,Data missing,34 years old,Kanchipuram +27 more,"Skill Development / Learning, Work Satisfaction, Company Culture",Data missing
389,Dhani Loans and Services,3.8,NBFC,1k-5k Employees,Data missing,Data missing,New Delhi +171 more,Data missing,Data missing
390,Bharti AXA Life Insurance,3.9,Insurance,5k-10k Employees,Data missing,17 years old,Mumbai +217 more,Data missing,Data missing
391,Lodha group,4.1,Real Estate,1k-5k Employees,Fortune India 500,43 years old,Mumbai +21 more,"Skill Development / Learning, Company Culture, Work Life Balance",Data missing
392,ITC Hotels,4.1,Hospitality,5k-10k Employees,Public,48 years old,Kolkata +70 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
393,Sobha,4,Real Estate,1k-5k Employees,Public,28 years old,Bangalore/Bengaluru +34 more,"Job Security, Skill Development / Learning",Data missing
394,GVK Emergency Management and Research Institute,3.7,Non-Profit,10k-50k Employees,Data missing,18 years old,Hyderabad/Secunderabad +136 more,Data missing,Data missing
395,Sterling & Wilson,4.1,Engineering & Construction,501-1k Employees,Data missing,96 years old,Mumbai +80 more,"Company Culture, Work Life Balance, Skill Development / Learning",Data missing
396,Brakes India,4,Auto Components,501-1k Employees,Fortune India 500,61 years old,Chennai +68 more,"Job Security, Skill Development / Learning, Work Satisfaction",Data missing
397,CAMS,3.7,IT Services & Consulting,5k-10k Employees,Data missing,35 years old,Chennai +93 more,Job Security,Promotions / Appraisal
398,Bharat Petroleum,4.1,Oil & Gas,5k-10k Employees,Fortune India 500,71 years old,Mumbai +201 more,"Skill Development / Learning, Salary & Benefits, Job Security",Data missing
399,Foundever,3.9,BPO,5k-10k Employees,Conglomerate,38 years old,Miami +15 more,"Job Security, Work Life Balance, Company Culture",Data missing
400,Future Generali India Life Insurance,3.8,Insurance,1k-5k Employees,Data missing,16 years old,Mumbai +162 more,Data missing,Data missing
401,Aavas Financiers,4,Financial Services,5k-10k Employees,Public,12 years old,Jaipur +223 more,Skill Development / Learning,Data missing
402,Bureau Veritas,3.9,Other,1k-5k Employees,Forbes Global 2000,195 years old,Paris La Défense +95 more,"Work Life Balance, Job Security",Data missing
403,suzuki motor gujarat,4.3,Data missing,Data missing,Fortune India 500,Data missing,Becharaji +71 more,"Job Security, Company Culture, Salary & Benefits",Data missing
404,NoBroker,3.2,Internet,1k-5k Employees,Indian Unicorn,9 years old,Bangalore +31 more,Data missing,Data missing
405,Varroc Group,3.8,Auto Components,1k-5k Employees,Public,35 years old,Aurangabad +33 more,Data missing,Data missing
406,Fincare Small Finance Bank,4,NBFC,5k-10k Employees,Data missing,16 years old,Bangalore +328 more,"Job Security, Work Life Balance, Skill Development / Learning",Data missing
407,Coromandel International,4.1,Agriculture,5k-10k Employees,Public,62 years old,Hyderabad/Secunderabad +143 more,"Job Security, Company Culture, Work Life Balance",Data missing
408,Care Health Insurance,3.7,Internet,5k-10k Employees,Public,11 years old,Gurgaon +188 more,Data missing,Data missing
409,café Coffee day,3.9,Beverage,10k-50k Employees,Data missing,27 years old,Bengaluru +89 more,Skill Development / Learning,Data missing
410,Citicorp,3.8,Financial Services,1k-5k Employees,Data missing,26 years old,Mumbai +24 more,"Job Security, Salary & Benefits",Data missing
411,JK Tyres,3.8,Auto Components,1k-5k Employees,Fortune India 500,72 years old,New Delhi +127 more,Data missing,Data missing
412,Mahindra Rural Housing Finance,4.1,Financial Services,5k-10k Employees,Public,16 years old,Mumbai +366 more,"Company Culture, Skill Development / Learning, Work Life Balance",Data missing
413,MSN Laboratories,3.8,Pharma,10k-50k Employees,Data missing,20 years old,Hyderabad/Secunderabad +60 more,Job Security,Data missing
414,Sopra Steria,4,IT Services & Consulting,5k-10k Employees,Conglomerate,55 years old,Paris +14 more,"Work Life Balance, Job Security, Company Culture",Data missing
415,Jindal Stainless,4.2,Iron & Steel,1k-5k Employees,Public,53 years old,Delhi/NCR +45 more,"Job Security, Skill Development / Learning, Work Life Balance",Data missing
416,Cisco,4.4,Hardware & Networking,10k-50k Employees,Public,39 years old,San Jose +33 more,"Company Culture, Work Life Balance, Skill Development / Learning",Data missing
417,Tata Motors Finance,4.1,NBFC,1k-5k Employees,Conglomerate,66 years old,Mumbai +211 more,"Skill Development / Learning, Job Security, Company Culture",Data missing
418,Unacademy,3.4,EdTech,1k-5k Employees,Indian Unicorn,8 years old,Bangalore +49 more,Data missing,"Job Security, Promotions / Appraisal"
419,Gallagher,3.9,Insurance,10k-50k Employees,Forbes Global 2000,96 years old,Rolling Meadows +13 more,"Company Culture, Job Security, Work Life Balance",Data missing
420,Canara HSBC Life Insurance,3.8,Insurance,5k-10k Employees,Data missing,15 years old,Gurgaon/Gurugram +232 more,Data missing,Data missing
421,Taurus BPO Services,4.6,BPO,1k-5k Employees,Data missing,8 years old,Pune +12 more,"Company Culture, Skill Development / Learning, Work Life Balance",Data missing
422,Gabriel India,4.2,Auto Components,1k-5k Employees,Public,62 years old,Pune +37 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
423,VVDN Technologies,3.6,IT Services & Consulting,5k-10k Employees,Data missing,16 years old,Gurgaon +26 more,Data missing,Data missing
424,ABC,3.9,Broadcasting,1k-5k Employees (Global),Public,80 years old,New York +100 more,"Salary & Benefits, Work Life Balance, Company Culture",Data missing
425,UpGrad,4,EdTech,1k-5k Employees,Indian Unicorn,8 years old,San Francisco +36 more,"Salary & Benefits, Skill Development / Learning, Company Culture",Data missing
426,Adani Wilmar,4.2,FMCG,1k-5k Employees,Public,24 years old,Ahmedabad +139 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
427,RMSI,3.8,IT Services & Consulting,1k-5k Employees,Data missing,31 years old,Noida +12 more,Job Security,Data missing
428,PhonePe,4.1,FinTech,5k-10k Employees,Indian Unicorn,8 years old,Bangalore +186 more,"Salary & Benefits, Company Culture, Job Security",Data missing
429,Power Mech Projects,3.8,Engineering & Construction,1k-5k Employees,Public,16 years old,Hyderabad/Secunderabad +110 more,Job Security,Data missing
430,Thomson Reuters,4.1,Legal,5k-10k Employees,Forbes Global 2000,15 years old,Toronto +24 more,"Work Life Balance, Company Culture, Job Security",Data missing
431,Indian Navy,4.6,Defence & Aerospace,50k-1 Lakh Employees,Central,73 years old,Delhi/NCR +55 more,"Job Security, Skill Development / Learning, Salary & Benefits",Data missing
432,Lucas-TVS,4,Auto Components,5k-10k Employees,Data missing,62 years old,Chennai +56 more,"Skill Development / Learning, Job Security, Company Culture",Data missing
433,SAP,4.3,Software Product,10k-50k Employees,Forbes Global 2000,51 years old,Walldorf +40 more,"Work Life Balance, Job Security, Company Culture",Data missing
434,Star Health & Allied Insurance,3.8,Insurance,10k-50k Employees,Fortune India 500,17 years old,Chennai +236 more,Data missing,Data missing
435,Google,4.4,Internet,10k-50k Employees,Data missing,25 years old,Mountain View +79 more,"Company Culture, Salary & Benefits, Work Life Balance",Data missing
436,Bank of Baroda,3.5,Banking,50k-1 Lakh Employees,Fortune India 500,115 years old,Vadodara/Baroda +223 more,Job Security,Data missing
437,ValueLabs,3.9,IT Services & Consulting,5k-10k Employees,Data missing,26 years old,Hyderabad/Secunderabad +12 more,"Salary & Benefits, Work Life Balance",Data missing
438,Renault Nissan Technology & Business Centre India,3.8,Auto Components,5k-10k Employees,Data missing,16 years old,Chennai +12 more,"Job Security, Work Life Balance",Data missing
439,Parle Products,3.9,Food Processing,1k-5k Employees,Data missing,94 years old,Mumbai +173 more,Salary & Benefits,Data missing
440,Planet Spark,3.8,EdTech,51-200 Employees,Startup,6 years old,Gurgaon +30 more,Skill Development / Learning,Data missing
441,Tata Capital Financial Services,4.2,NBFC,5k-10k Employees,Public,16 years old,Mumbai +145 more,"Job Security, Company Culture, Skill Development / Learning",Data missing
442,Straive,3.5,EdTech,5k-10k Employees,Data missing,43 years old,Singapore +19 more,Data missing,Promotions / Appraisal
443,DBS Bank,3.8,Banking,5k-10k Employees,Data missing,8 years old,Hyderabad/Secunderabad +131 more,"Salary & Benefits, Job Security, Company Culture",Data missing
444,AECOM,4.2,Engineering & Construction,1k-5k Employees,Data missing,33 years old,Dallas +102 more,"Company Culture, Work Life Balance, Skill Development / Learning",Data missing
445,Honda,4.1,Automobile,10k-50k Employees,Forbes Global 2000,38 years old,Greater Noida +185 more,"Job Security, Work Life Balance, Company Culture",Data missing
446,Big Bazaar,4.2,Retail,10k-50k Employees,Conglomerate,22 years old,Mumbai +154 more,"Skill Development / Learning, Company Culture, Work Satisfaction",Data missing
447,IntouchCX,3,BPO,5k-10k Employees,Data missing,22 years old,Winnipeg +13 more,Data missing,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
448,TVS Sundram Fasteners,3.7,Auto Components,1k-5k Employees,Public,61 years old,Chennai +38 more,Data missing,Data missing
449,Laurus Labs,4.2,Pharma,5k-10k Employees,Public,18 years old,Hyderabad/Secunderabad +15 more,"Job Security, Company Culture, Work Life Balance",Data missing
450,Citibank,4,Banking,1-10 Employees,Fortune India 500,211 years old,New York +46 more,"Salary & Benefits, Job Security, Company Culture",Data missing
451,Cargill,4.1,Data missing,1k-5k Employees,Conglomerate,158 years old,Wayzata +83 more,"Job Security, Company Culture, Salary & Benefits",Data missing
452,Uflex,3.7,Packaging,5k-10k Employees,Public,38 years old,Noida +41 more,Data missing,Data missing
453,IDBI Bank,3.8,Banking,10k-50k Employees,Public,59 years old,Mumbai +268 more,Job Security,Data missing
454,SGS,3.9,Data missing,1k-5k Employees,Forbes Global 2000,145 years old,Geneva +99 more,Work Life Balance,Data missing
455,BA Continuum,4.3,NBFC,10k-50k Employees,Data missing,20 years old,Gurgaon/Gurugram +14 more,"Job Security, Work Life Balance, Company Culture",Data missing
456,Hindustan Aeronautics,4.3,Defence & Aerospace,10k-50k Employees,Fortune India 500,83 years old,Bangalore/Bengaluru +43 more,"Skill Development / Learning, Work Life Balance, Work Satisfaction",Data missing
457,AXA Business Services,3.8,Insurance,501-1k Employees,Data missing,77 years old,Paris +8 more,"Work Life Balance, Job Security, Company Culture",Data missing
458,KIA MOTORS,3.8,Automobile,1k-5k Employees,Forbes Global 2000,79 years old,Seoul +123 more,Data missing,Data missing
459,CMA CGM,4.1,Ports & Shipping,501-1k Employees,Data missing,45 years old,Marseille +29 more,"Job Security, Company Culture, Work Life Balance",Data missing
460,Adani Power,3.9,Power,1k-5k Employees,Public,17 years old,Pune +73 more,"Job Security, Skill Development / Learning, Salary & Benefits",Data missing
461,Allsec Technologies,3.9,BPO,5k-10k Employees,Public,23 years old,Pune +20 more,Job Security,Data missing
462,Wockhardt,3.8,Pharma,5k-10k Employees,Public,24 years old,Pune +72 more,"Work Life Balance, Company Culture, Skill Development / Learning",Data missing
463,Novartis,4.1,Pharma,1k-5k Employees,Data missing,27 years old,Pune +61 more,"Work Life Balance, Company Culture, Salary & Benefits",Data missing
464,Vedantu,3.3,EdTech,1k-5k Employees,Indian Unicorn,12 years old,Pune +50 more,Data missing,"Job Security, Promotions / Appraisal, Work Satisfaction"
465,Xoriant,3.9,IT Services & Consulting,1k-5k Employees,Data missing,33 years old,Pune +19 more,"Work Life Balance, Company Culture, Salary & Benefits",Data missing
466,Sify Technologies,4,IT Services & Consulting,1k-5k Employees,Data missing,28 years old,Pune +95 more,"Skill Development / Learning, Job Security, Work Life Balance",Data missing
467,Philips,3.9,Consumer Electronics & Appliances,5k-10k Employees,Forbes Global 2000,93 years old,Pune +81 more,"Work Life Balance, Salary & Benefits, Company Culture",Data missing
468,Hero FinCorp,4.2,NBFC,5k-10k Employees,Data missing,32 years old,Pune +286 more,"Company Culture, Work Life Balance, Skill Development / Learning",Data missing
469,Kotak Securities,3.7,Financial Services,5k-10k Employees,Conglomerate,29 years old,Pune +115 more,Data missing,Data missing
470,Meesho,3.7,Internet,5k-10k Employees,Indian Unicorn,8 years old,Pune +86 more,Salary & Benefits,Data missing
471,Microsoft Corporation,4.2,Software Product,5k-10k Employees,Forbes Global 2000,48 years old,Pune +45 more,"Company Culture, Work Life Balance, Skill Development / Learning",Data missing
472,Reliance General Insurance,3.8,Insurance,5k-10k Employees,Data missing,23 years old,Pune +165 more,Data missing,Data missing
473,Dr Lal PathLabs,4.2,Healthcare,1k-5k Employees,Public,74 years old,Pune +138 more,"Skill Development / Learning, Job Security, Company Culture",Data missing
474,Akums Drugs & Pharmaceuticals,4,Pharma,10k-50k Employees,Data missing,19 years old,Pune +28 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
475,MetLife,4.4,Insurance,1k-5k Employees,Forbes Global 2000,15 years old,Noida +33 more,"Work Life Balance, Job Security, Company Culture",Data missing
476,PHN Technology,4.6,Data missing,Data missing,Data missing,Data missing,Pune +29 more,"Skill Development / Learning, Work Satisfaction, Company Culture",Data missing
477,Intellect Design Arena,4,FinTech,5k-10k Employees,Public,9 years old,Pune +25 more,"Job Security, Company Culture",Data missing
478,Tata Play,4.1,Broadcasting,5k-10k Employees,Public,17 years old,Pune +185 more,"Job Security, Company Culture, Skill Development / Learning",Data missing
479,Vardhman Fabrics,4,Fashion & Textile,10k-50k Employees,Fortune India 500,58 years old,Pune +51 more,"Job Security, Company Culture, Skill Development / Learning",Data missing
480,Honeywell Automation,3.8,Consumer Electronics & Appliances,10k-50k Employees,Public,117 years old,Morris Plains +59 more,Job Security,Data missing
481,XL Dynamics,3.3,IT Services & Consulting,1k-5k Employees,Data missing,21 years old,Navi Mumbai +27 more,Data missing,Job Security
482,Crisil,3.8,Financial Services,1k-5k Employees,Public,36 years old,Mumbai +52 more,"Job Security, Company Culture",Data missing
483,Aragen Life Sciences,4.1,Pharma,1k-5k Employees,Data missing,23 years old,Hyderabad/Secunderabad +14 more,"Skill Development / Learning, Job Security, Company Culture",Data missing
484,Narayana Health,4.2,Healthcare,10k-50k Employees,Fortune India 500,23 years old,Bangalore/Bengaluru +51 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
485,Biological E,4.2,Biotechnology,1k-5k Employees,Data missing,70 years old,Hyderabad/Secunderabad +40 more,"Job Security, Company Culture, Work Life Balance",Data missing
486,TCE,3.7,Engineering & Construction,5k-10k Employees,Data missing,61 years old,Mumbai +89 more,Job Security,Data missing
487,Bhushan Power & Steel,4,Iron & Steel,5k-10k Employees,Data missing,53 years old,Delhi/NCR +50 more,Skill Development / Learning,Data missing
488,Frankfinn Institute of Air Hostess Training,4,Education & Training,1k-5k Employees,Data missing,30 years old,Gurgaon/Gurugram +55 more,"Skill Development / Learning, Salary & Benefits, Company Culture",Data missing
489,SBI General Insurance,3.8,Insurance,5k-10k Employees,Data missing,14 years old,Mumbai +193 more,Job Security,Data missing
490,YASH Technologies,3.8,IT Services & Consulting,5k-10k Employees,Data missing,27 years old,East Moline +17 more,"Work Life Balance, Company Culture",Data missing
491,ESAF Microfinance & Investments (P),3.9,Financial Services,1k-5k Employees,Data missing,7 years old,Thrissur/Trichur +250 more,Job Security,Data missing
492,Microland,3.6,IT Services & Consulting,1k-5k Employees,Public,34 years old,Bangalore +42 more,Data missing,Data missing
493,NCR Corporation,4.1,IT Services & Consulting,5k-10k Employees,Forbes Global 2000,139 years old,Atlanta +74 more,"Work Life Balance, Company Culture, Job Security",Data missing
494,CMS Infosystems,3.5,IT Services & Consulting,5k-10k Employees,Data missing,15 years old,Mumbai +154 more,Data missing,Promotions / Appraisal
495,G R Infraprojects,4.2,Engineering & Construction,10k-50k Employees,Public,28 years old,Gurgaon/Gurugram +126 more,"Skill Development / Learning, Salary & Benefits, Company Culture",Data missing
496,HERE Technologies,3.8,IT Services & Consulting,1k-5k Employees,Data missing,38 years old,Eindhoven +13 more,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
497,Safexpress,4.1,Logistics,1k-5k Employees,Conglomerate,26 years old,Delhi/NCR +131 more,"Job Security, Company Culture, Work Life Balance",Data missing
498,Optum Global Solutions,4.1,IT Services & Consulting,1k-5k Employees,Data missing,Data missing,Hyderabad/Secunderabad +12 more,"Job Security, Work Life Balance, Company Culture",Data missing
499,Yamaha Motor,4.1,Automobile,1k-5k Employees,Fortune India 500,16 years old,Iwata +127 more,"Work Life Balance, Skill Development / Learning, Work Satisfaction",Data missing
500,Spark Minda,3.8,Auto Components,1k-5k Employees,Public,65 years old,Gurgaon +55 more,Data missing,Data missing
501,Amazon Transportation Services,4.1,Logistics,1k-5k Employees,Data missing,11 years old,Seattle +126 more,"Salary & Benefits, Company Culture, Skill Development / Learning",Data missing
502,SS&C TECHNOLOGIES,3.6,IT Services & Consulting,5k-10k Employees,Forbes Global 2000,37 years old,Windsor Locks +24 more,Job Security,Data missing
503,R.R. Donnelley,4,Marketing & Advertising,5k-10k Employees,Data missing,159 years old,Chicago +8 more,"Job Security, Company Culture, Work Life Balance",Data missing
504,Matrimony.com,4.4,Internet,1k-5k Employees,Public,26 years old,Chennai +47 more,"Company Culture, Job Security, Work Satisfaction",Data missing
505,Exl India,3.7,IT Services & Consulting,11-50 Employees,Data missing,66 years old,New Delhi +23 more,Job Security,Data missing
506,Metro,4.1,Retail,1k-5k Employees,Forbes Global 2000,59 years old,Bangalore/Bengaluru +67 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
507,Reckitt Benckiser,4,FMCG,1k-5k Employees,Conglomerate,24 years old,Slough +107 more,"Salary & Benefits, Work Life Balance, Company Culture",Data missing
508,Angel One,3.9,Financial Services,1k-5k Employees,Data missing,Data missing,Mumbai +108 more,"Company Culture, Work Life Balance",Data missing
509,Cavinkare,4,FMCG,1k-5k Employees,Conglomerate,40 years old,Chennai +141 more,"Work Life Balance, Skill Development / Learning, Company Culture",Data missing
510,Procter & Gamble,4.2,FMCG,1k-5k Employees,Public,186 years old,Cincinnati +198 more,"Skill Development / Learning, Company Culture, Work Life Balance",Data missing
511,Honeywell Technology Solutions,3.8,Defence & Aerospace,10k-50k Employees,Data missing,29 years old,Bangalore/Bengaluru +18 more,"Job Security, Company Culture",Data missing
512,CitiusTech,3.6,IT Services & Consulting,1k-5k Employees,Indian Unicorn,18 years old,New Jersey +14 more,Data missing,Data missing
513,Niva Bupa Health Insurance Company,3.7,Insurance,5k-10k Employees,Data missing,15 years old,Delhi/NCR +168 more,Data missing,Data missing
514,Sigma Electric Manufacturing Corporation,4,Industrial Machinery,1k-5k Employees,Data missing,41 years old,Garner +16 more,"Company Culture, Skill Development / Learning",Data missing
515,KONE,4.2,Industrial Machinery,5k-10k Employees,Forbes Global 2000,113 years old,Chennai +61 more,"Job Security, Company Culture, Work Life Balance",Data missing
516,Innovsource Services,3.9,Recruitment,1k-5k Employees,Data missing,19 years old,Mumbai +172 more,Data missing,Data missing
517,Panasonic Life Solutions,4,Electrical Equipment,1k-5k Employees,Data missing,60 years old,Mumbai +102 more,"Job Security, Salary & Benefits, Work Life Balance",Data missing
518,Oberoi Group of Hotels,4.1,Hospitality,1k-5k Employees,Data missing,89 years old,Delhi/NCR +30 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
519,Adecco Group,3.7,Recruitment,1k-5k Employees,Forbes Global 2000,24 years old,Zurich +117 more,Data missing,Data missing
520,USV,4,Pharma,1k-5k Employees,Fortune India 500,62 years old,Bengaluru/Bangalore +81 more,"Company Culture, Skill Development / Learning, Work Life Balance",Data missing
521,USHA International,4.2,Consumer Electronics & Appliances,1k-5k Employees,Public,89 years old,Bengaluru/Bangalore +108 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
522,Mercedes-Benz Research & Development India,4,Automobile,5k-10k Employees,Public,27 years old,Bengaluru/Bangalore +47 more,"Job Security, Work Life Balance, Company Culture",Data missing
523,Chegg,4.3,EdTech,501-1k Employees,Data missing,18 years old,Bengaluru/Bangalore +55 more,"Work Life Balance, Skill Development / Learning, Company Culture",Data missing
524,Hyatt Regency,4.1,Hospitality,1k-5k Employees,Forbes Global 2000,43 years old,Bengaluru/Bangalore +42 more,"Skill Development / Learning, Company Culture, Job Security",Data missing
525,DIVI'S Laboratories,3.8,Healthcare,10k-50k Employees,Public,33 years old,Bengaluru/Bangalore +18 more,Job Security,Data missing
526,Credit Suisse,4.2,Data missing,10k-50k Employees,Data missing,167 years old,Bengaluru/Bangalore +8 more,"Work Life Balance, Company Culture, Salary & Benefits",Data missing
527,Torrent Power,3.7,Power,5k-10k Employees,Public,27 years old,Ahmedabad +35 more,"Job Security, Work Life Balance",Data missing
528,Allstate,4,IT Services & Consulting,5k-10k Employees,Forbes Global 2000,11 years old,Bengaluru/Bangalore +9 more,"Company Culture, Work Life Balance, Job Security",Data missing
529,Mother Dairy Fruit & Vegetable,4.2,Food Processing,1k-5k Employees,Data missing,49 years old,Bengaluru/Bangalore +104 more,"Job Security, Work Life Balance, Company Culture",Data missing
530,Honda Cars,4.3,Automobile,5k-10k Employees,Fortune India 500,Data missing,Bengaluru/Bangalore +79 more,"Work Life Balance, Company Culture, Work Satisfaction",Data missing
531,Johnson & Johnson,4.2,Pharma,1k-5k Employees,Forbes Global 2000,66 years old,Bengaluru/Bangalore +129 more,"Company Culture, Skill Development / Learning, Work Life Balance",Data missing
532,Team Computers,3.7,IT Services & Consulting,1k-5k Employees,Data missing,36 years old,Bengaluru/Bangalore +83 more,Data missing,Data missing
533,Isgec Heavy Engineering,3.9,Industrial Machinery,1k-5k Employees,Public,90 years old,Bengaluru/Bangalore +61 more,Job Security,Data missing
534,Piramal Group,4,Financial Services,1k-5k Employees,Fortune India 500,43 years old,Bengaluru/Bangalore +116 more,"Skill Development / Learning, Company Culture, Work Life Balance",Data missing
535,Arvind Group,4.1,Fashion & Textile,10k-50k Employees,Public,92 years old,Bengaluru/Bangalore +78 more,"Work Life Balance, Job Security, Company Culture",Data missing
536,Motherson Automotive Technologies and Engineering,3.9,Auto Components,501-1k Employees,Data missing,26 years old,Bengaluru/Bangalore +50 more,"Job Security, Skill Development / Learning",Data missing
537,Verizon,4.2,Telecom,5k-10k Employees,Forbes Global 2000,23 years old,Bengaluru/Bangalore +9 more,"Salary & Benefits, Company Culture, Work Life Balance",Data missing
538,DHL Supply Chain,4.2,Logistics,1k-5k Employees,Data missing,54 years old,Bengaluru/Bangalore +71 more,"Job Security, Company Culture, Skill Development / Learning",Data missing
539,NTPC,4.3,Data missing,10k-50k Employees,Fortune India 500,48 years old,Bengaluru/Bangalore +97 more,"Job Security, Skill Development / Learning, Company Culture",Data missing
540,Apollo Pharmacy,3.9,Pharma,10k-50k Employees,Data missing,40 years old,Chennai +179 more,"Job Security, Skill Development / Learning",Data missing
541,Exotic Learning,4.6,EdTech,51-200 Employees,Data missing,3 years old,Lucknow +141 more,"Company Culture, Work Life Balance, Promotions / Appraisal",Data missing
542,Aditya Birla Capital,4,Financial Services,10k-50k Employees,Public,16 years old,Mumbai +172 more,"Job Security, Work Life Balance, Company Culture",Data missing
543,DHL Express,4.1,Logistics,1k-5k Employees,Conglomerate,44 years old,Bonn +80 more,"Job Security, Company Culture, Work Life Balance",Data missing
544,PI Industries,4.2,Agro Chemicals,1k-5k Employees,Public,76 years old,Gurgaon/Gurugram +82 more,"Skill Development / Learning, Salary & Benefits, Job Security",Data missing
545,Orange Business,4.3,IT Services & Consulting,1k-5k Employees,Forbes Global 2000,17 years old,Paris +42 more,"Job Security, Work Life Balance, Company Culture",Data missing
546,V-Guard Industries,4.4,Consumer Electronics & Appliances,1k-5k Employees,Public,46 years old,Kochi/Cochin +117 more,"Company Culture, Job Security, Work Life Balance",Data missing
